SubConcept	SuperConcept
431350006	431350006
443275001	431350006
508241000000109	431350006
323211000000108	431350006
443275001	443275001
508241000000109	443275001
508241000000109	508241000000109
443275001	508241000000109
323211000000108	323211000000108
508241000000109	323211000000108
443275001	323211000000108
431350006	323211000000108
